id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
625361,Polska,Świętochłowice,Świętochłowice,ŚWIĘTOCHŁOWICE,"NORBERTA BARLICKIEGO",25A,41-605,f605812fa43bfd449c4ff39159889ca178544f2e
625710,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","WALEREGO WRÓBLEWSKIEGO",53C,41-106,dea57be6ec42d123eaeab904999ff41901aa2d41
625906,Polska,Świętochłowice,Świętochłowice,ŚWIĘTOCHŁOWICE,LIPOWA,80,41-603,e2e0a900c0c0e26d451e11d8fabb1a3006701501
626194,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","JANA NEPOMUCENA STĘŚLICKIEGO",10,41-106,0910fad3a4c56bd3b567026e11dd71538fd2da7a
626692,Polska,Świętochłowice,Świętochłowice,ŚWIĘTOCHŁOWICE,"MICHAŁA DRZYMAŁY",10a,41-603,3b2d21938b5246308ca9c1da3d2b821fc19a4008
627120,Polska,Świętochłowice,Świętochłowice,ŚWIĘTOCHŁOWICE,CHORZOWSKA,102,41-605,48a348107d65ed394473894be169d5f53b921f59
627354,Polska,żywiecki,Milówka,Kamesznica,Górna,350,34-360,ca7bed4d534f32fc8ac5b5203759e084bdfb9241
628029,Polska,żywiecki,Milówka,Kamesznica,Górna,217,34-360,9a06bf0f8b98b6fc9fbb65b581715e9ed85ee287
628084,Polska,żywiecki,Milówka,Kamesznica,Koniakowska,1023,34-360,4708f3c85264eb17e573f51b586e63cd332a6c6f
628172,Polska,żywiecki,Milówka,Milówka,"Plac Wolności",9,34-360,dc550784b4072b79cbf949d2e0a0a13c707f90c9
628624,Polska,żywiecki,Milówka,Kamesznica,Parkowa,812,34-360,5b9431f5f070bb5ed48920723358322fd6f02468
628669,Polska,żywiecki,Milówka,Szare,,143,34-360,6bb429bbc336b3b25b16aaf1ae6aae84777f5a02
629874,Polska,żywiecki,Milówka,Kamesznica,Wspólna,602,34-360,1707b3074e6f78b57973c5293bfa85a9fe025e2b
630652,Polska,żywiecki,Milówka,Kamesznica,Objazdowa,641,34-360,891d2fa5f54c53ab0d6e00865bb4a913e9cf9d41
630658,Polska,żywiecki,Milówka,Kamesznica,Objazdowa,108,34-360,4a3810f0e03695009112f09668bb75e433f16617
631306,Polska,wodzisławski,Godów,Skrbeńsko,Piotrowicka,79A,44-341,e36f641d422e5645793e69c9c86eb8d08a456b68
631463,Polska,cieszyński,Istebna,Istebna,,461,43-470,08f7f6f4f9c5b3ffd6ae3e160de25e554b5f75d2
632223,Polska,cieszyński,Istebna,Istebna,,755,43-470,23008c433477231cf82749220aca09728d206e10
632793,Polska,cieszyński,Istebna,Jaworzynka,,360,43-476,4522abf97f4e195c5614575c61331bfcf4702312
633051,Polska,cieszyński,Istebna,Jaworzynka,,675,43-476,2f5529d4ed34fe52a3aac6a269b06763cd028b52
634076,Polska,cieszyński,Istebna,Jaworzynka,,457,43-476,667b4cc92f1519df2c7e4c3916114f975d3c7d35
634330,Polska,cieszyński,Istebna,Jaworzynka,,940,43-476,24ef7fc3fcb3f8fb49005de4f2daaa448c92c656
634385,Polska,żywiecki,Milówka,Milówka,Jarców,13a,34-360,185689a29753dc3381b2573377ab97baaff291ed
634930,Polska,cieszyński,Istebna,Koniaków,,240,43-474,d9ce74a2424f4e2afef270249b7e027ecca52a47
634957,Polska,cieszyński,Istebna,Koniaków,,539,43-474,38199f24414ca27de5f7eaff0297baa96e144538
635249,Polska,cieszyński,Istebna,Istebna,,1408,43-470,f5d8ec567ac5327731f55713a1b53caf8eadd618
636376,Polska,będziński,Sławków,Sławków,Biskupia,5,41-260,b4cf8530adcc46661d1c0ea1e06ef56da0d74570
637060,Polska,będziński,Sławków,Sławków,Makowa,10,41-260,ef4aa73d9e0a029fc3087fba74b509e001d2765f
637825,Polska,będziński,Sławków,Sławków,Krakowska,90,41-260,f724e3ba233c6ee1ba5265f0d1a6b0760b50cbbf
639564,Polska,"Piekary Śląskie","Piekary Śląskie","Piekary Śląskie",Jesionowa,59,41-940,525b58fc98e1100292fcee3c66290226d651e9fe
639737,Polska,bieruńsko-lędziński,Bieruń,BIERUŃ,BARBÓRKI,2,43-155,930477001e176c5b6cd2d6cb5f7b835ec3ddcc0f
639783,Polska,bieruńsko-lędziński,Bieruń,BIERUŃ,ŁOWIECKA,18,43-150,4175199aee16e573d4d758ab9e0990ce729e7fa2
