id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
15743,Polska,cieszyński,Strumień,Zabłocie,Bielska,22,43246,ffef74993bfc07da2e4661c6868501d7897c4ec7
15927,Polska,cieszyński,Strumień,Strumień,Rzemieślnicza,5,43246,3f09a431e635f6d2a83e7ce347de1159984dbc90
16375,Polska,cieszyński,Hażlach,Hażlach,Jastrzębska,131,43419,48c3ca44712c596182f9428934985cf66b82364e
16599,Polska,cieszyński,Hażlach,"Kończyce Wielkie",Długa,29,43416,4f3a2ad509fb5eccf547429910c2718e61a87759
16647,Polska,cieszyński,Hażlach,"Kończyce Wielkie",Słoneczna,7,43416,ba68a85fc0cb13396f53a24880997ff4e80e8b79
16705,Polska,cieszyński,Hażlach,Zamarski,Cieszyńska,44,43419,f35b3ecb48165c4ffbd682396b47e2a8bb7e1e88
16724,Polska,cieszyński,Hażlach,"Kończyce Wielkie",Dworcowa,25,43416,4fe75c95d7ef7e5b84fd7fe35066cb58b2cb04e0
16843,Polska,cieszyński,Hażlach,Hażlach,Akacjowa,60,43419,e32886b29d73606bb04efea9ddce5a22c23e61de
17134,Polska,cieszyński,Hażlach,Hażlach,Cieszyńska,12,43419,adb49c6a0d52c5a3c8bdf454fc1e08c3510ae9a9
17458,Polska,cieszyński,Hażlach,Pogwizdów,Szkolna,69,43418,518aa62903eac5e717405fb872144fbce57ff88a
17535,Polska,cieszyński,Hażlach,Zamarski,Piękna,33,43419,9a648c0fdc33d8f3e04b1c5fceb116c80f03c765
17635,Polska,cieszyński,Hażlach,Hażlach,Leśna,61,43419,fdff0a7c3a09f1a969db2e77daa4cd06f1785eb9
17703,Polska,cieszyński,Hażlach,Zamarski,Cieszyńska,4,43419,34dc8d29c52178f9344b0d4f145630cc9fb7a0e3
17761,Polska,cieszyński,Hażlach,Zamarski,Rakowiec,8,43419,ca59ef9bfb47718ad3d6755ae8b725cd4483bedf
17768,Polska,cieszyński,Hażlach,"Kończyce Wielkie",Zamkowa,33,43416,8089597d8bb0450e207a06d25b00644b668d2915
17902,Polska,cieszyński,Hażlach,Pogwizdów,Cieszyńska,107,43418,5ff5f4ef1f636d96b2bac94ebf717bcda897992f
18148,Polska,cieszyński,Strumień,Pruchna,Główna,105,43523,4f83c8bd97ae10b0262808c5c3033ab53e0c39e3
18220,Polska,cieszyński,Hażlach,Hażlach,Spokojna,10,43419,0adf2221f79de56011a1b4ca810665a545e2d570
18223,Polska,cieszyński,Hażlach,Zamarski,Topolowa,5,43419,28ae641973a4c510521bd9c42477d79fd15183fb
18295,Polska,cieszyński,Hażlach,Zamarski,Widokowa,36,43419,492cbba8a92f5f438a2cde645e88a1f419adebe4
18411,Polska,cieszyński,Hażlach,Hażlach,Karnowiec,89,43419,c5a7e98a2fc7fcf7ea7f30a1429be73f7ab7c269
18611,Polska,cieszyński,Strumień,Bąków,Cieszyńska,4,43246,757dce8a77dd21ab025edc682d4572b9ccbc7c84
18681,Polska,cieszyński,Strumień,Pruchna,"Nowy Świat",16,43523,ac840c67ae108bc5677f9f67a34f0b3080dc94d5
18694,Polska,cieszyński,Strumień,Zabłocie,Długa,79,43246,cf0502811796bfead7d4519c34be7dce55d35541
18821,Polska,cieszyński,Strumień,Bąków,"Nowy Świat",22,43246,3c1bf9f493bb50402b5d497699cf66810a14429d
18853,Polska,cieszyński,Strumień,Zabłocie,Miodowa,12,43246,ac71ce8ec8f2ac1e32edfdecd16778f524b8e9ef
18858,Polska,cieszyński,Strumień,Zbytków,Wiślańska,11,43246,2599000e2383ca733cec40a4e753710d0fc8c4c8
19068,Polska,cieszyński,Strumień,Bąków,Romantyczna,2,43246,a72b2bd8e0e3d5778f18a82b83b808723ed8006f
19105,Polska,cieszyński,Strumień,Bąków,"Nowy Świat",12,43246,d90adc5f533a3a18d3a77588f60bd55cd95a6f8d
19218,Polska,będziński,Mierzęcice,Mierzęcice,Wolności,202,42460,011b7672d8baf4079b4bf85e5e25f355971d9e3a
19510,Polska,będziński,Mierzęcice,Mierzęcice,Wolności,173a,42460,01553d3feee7e0c9a3c9b7338c9e75d2cb7047fb
19755,Polska,będziński,Mierzęcice,Mierzęcice,Bankowa,20,42460,c24dd8f315fab4e2b42033a611c97878b74d2d00
19907,Polska,będziński,Mierzęcice,Toporowice,Mostowa,2,42460,48bd698643e72f53c76580997a5eb32ebc24248b
20033,Polska,będziński,Mierzęcice,Mierzęcice,Kolejowa,47,42460,f4970d97a01de0393b3d9f291d9e39caf5e3204a
20320,Polska,będziński,Mierzęcice,Toporowice,Dąbrowska,102,42460,b7e63561619c9b26cb806d6377ae50a9dbd05069
20359,Polska,będziński,Mierzęcice,"Nowa Wieś","Aleksandra Zawadzkiego",1,42460,573db3b36445fea31e7586fc8721378736ea3781
20362,Polska,będziński,Mierzęcice,Mierzęcice,Wolności,227,42460,5036c8c1124b11851ac844bdf7380f74f5ff9a7a
20441,Polska,będziński,Mierzęcice,Mierzęcice,Wolności,59,42460,386cf07532ad029e0f4017aa986c906a4a8c23d5
20468,Polska,będziński,Mierzęcice,Mierzęcice,Leśna,12,42460,1c97a92a2267e8d2087e71bf6e8e4b9830de9d79
20512,Polska,będziński,Mierzęcice,Przeczyce,Zarzeczna,25,42460,47f9d4ba21f99a5e8d73d03e7836f0cf932ad1d9
20721,Polska,będziński,Mierzęcice,Mierzęcice,Wolności,127,42460,28aaa522105fd9558fefec0b7ddd650afa8a56a3
20834,Polska,będziński,Mierzęcice,Przeczyce,"21 Stycznia",293,42460,bbcc0a4971f7c63d5cca17fd5a9a1fb9c81016c9
20918,Polska,będziński,Psary,Strzyżowice,"1 Maja",3a,,6a441749178058de633b2f2b034c08fcc891cdbb
20931,Polska,będziński,Psary,Psary,Graniczna,58,,3e73b8ab975ed86116c6eb069dfab6c3b6194374
20952,Polska,będziński,Psary,Gródków,Kolejowa,14,,1efefe38026f2993410959d4480cdab0caa96ca5
21179,Polska,będziński,Psary,Malinowice,Strumyczna,2a,,7d98907595387618a5591d8128de000151f640a9
21313,Polska,będziński,Psary,Strzyżowice,Podwale,10a,,9aa270cca51b98e3ccb0a6c42832f73b9791cb59
21365,Polska,będziński,Siewierz,Siewierz,Młyńska,49,42470,79591af7853dea754fa758fa66eb9371187b4591
21499,Polska,będziński,Psary,Psary,Wolności,1,,79c884fe4a2ed14c876161c9d30f268b88d0f899
21572,Polska,będziński,Psary,Preczów,Polna,6a,,a5ccbc4c362561dc2744bdd99ec11feca0a2956b
21657,Polska,będziński,Siewierz,Gołuchowice,,167,42470,ac79c1baa96c13e1179ceed2ad540dca5f3b4230
21660,Polska,będziński,Siewierz,Gołuchowice,,28,42470,7b17beb101ac3f8f8e304622c11286d3d28f02d8
21743,Polska,będziński,Siewierz,Leśniaki,,39,42470,dc9a7cd056011fd2a9697c72819b3217b04c279d
21761,Polska,będziński,Siewierz,Siewierz,Kielecka,40,42470,e62b806ac6971eeedec7c9dbed4f0eee38538e82
21762,Polska,będziński,Siewierz,Siewierz,Kolejowa,23,42470,c8d8ae4fcbef1e391fc4f9637d981326010670e6
21815,Polska,będziński,Psary,Sarnów,Wiejska,31,,26e30542078b04491f0981eb62cc6077710565c7
21884,Polska,będziński,Psary,Malinowice,Szkolna,5,,119cd4d616b63e8ab1761c474c1b5b939f40c152
22003,Polska,będziński,Psary,Malinowice,Topolowa,8,,d896c9babe5ba0eeaaec8cc4b5a4f0cea2ead0b3
22044,Polska,będziński,Siewierz,Siewierz,Willowa,6,42470,7f22769f4a36e10ffd2646a979133f194d8da634
22086,Polska,będziński,Psary,Preczów,Jaworowa,6,,1a8806642ff09883156ed21537d7d0df30446056
22231,Polska,będziński,Psary,Strzyżowice,"1 Maja",112,,1e1351eeaed34e18a92c2957bb306b2f558bcf5d
22395,Polska,będziński,Siewierz,Siewierz,Będzińska,18,42470,e5d58796a805de707425d24a7e265c3348feabe4
22454,Polska,będziński,Psary,Gródków,Kolejowa,4,,1619b8798ae5250627c4425a3e45c90f7fe791d1
22482,Polska,będziński,Psary,Malinowice,Wiejska,39a,,14da589d8dbc68070f0d37cbded6318ace5d9893
22492,Polska,będziński,Psary,Preczów,Brzeźna,4a,,c3ca8b12486aedf7a702d771ce15de12ba24ad56
22500,Polska,będziński,Psary,Gródków,Poprzeczna,4,,197d0548b7bc44e66e69ce51ff2a41c21f92ed37
22617,Polska,będziński,Psary,"Góra Siewierska",Kochanowskiego,1b,,2254ff1d1f94f8fff935d300c26a6381b36a91fd
22855,Polska,będziński,Psary,Psary,Kolejowa,97,,15d47d7aa9f3a5ce130f9ac8643ebd81cdc30a55
22902,Polska,będziński,Psary,"Góra Siewierska",Kochanowskiego,1a,,cd599598f60b674dde156675209f5469424ca3b8
22982,Polska,będziński,Psary,Gródków,Górna,2A,,9033b148a05641041e8a4ff1864e3029e7f848e3
23227,Polska,będziński,Siewierz,Podwarpie,,67a,42510,a932f2687f55743001dbdbeacd0df29c01987a7f
23362,Polska,będziński,Psary,"Góra Siewierska",Górna,2,,41d4d2f4c9e3f1e6feaf56ee0176934a957be832
